2021/01/04,792,536
2021/01/05,797,542
2021/01/06,792,549
2021/01/07,799,565
2021/01/08,838,580
2021/01/11,851,584
2021/01/12,846,591
2021/01/13,884,605
2021/01/14,861,592
2021/01/15,850,601
2021/01/18,844,607
2021/01/19,879,627
2021/01/20,872,647
2021/01/21,934,673
2021/01/22,917,649
2021/01/25,910,633
2021/01/26,871,617
2021/01/27,897,615
2021/01/28,869,601
2021/01/29,875,591
2021/02/01,905,611
2021/02/02,931,632
2021/02/03,950,630
2021/02/04,946,627
2021/02/05,950,632
2021/02/17,980,663
2021/02/18,978,660
2021/02/19,964,652
2021/02/22,951,650
2021/02/23,965,641
2021/02/24,940,625
2021/02/25,944,635
2021/02/26,896,606
2021/03/02,900,609
2021/03/03,930,622
2021/03/04,897,601
2021/03/05,883,601
2021/03/08,867,598
2021/03/09,879,595
2021/03/10,864,597
2021/03/11,888,609
2021/03/12,899,614
2021/03/15,907,611
2021/03/16,919,613
2021/03/17,908,604
2021/03/18,903,602
2021/03/19,885,591
2021/03/22,881,593
2021/03/23,870,594
2021/03/24,894,576
2021/03/25,949,575
2021/03/26,943,590
2021/03/29,941,599
2021/03/30,971,597
2021/03/31,969,587
2021/04/01,961,602
2021/04/06,995,610
2021/04/07,998,610
2021/04/08,1020,613
2021/04/09,999,610
2021/04/12,960,605
2021/04/13,961,605
2021/04/14,965,612
2021/04/15,985,619
2021/04/16,975,610
2021/04/19,963,603
2021/04/20,998,602
2021/04/21,988,592
2021/04/22,984,591
2021/04/23,1035,602
2021/04/26,1070,610
2021/04/27,1065,610
2021/04/28,1080,602
2021/04/29,1185,600
2021/05/03,1105,588
2021/05/04,1085,591
2021/05/05,1005,585
2021/05/06,1055,587
2021/05/07,1060,599
2021/05/10,979,589
2021/05/11,911,571
2021/05/12,888,560
2021/05/13,873,547
2021/05/14,895,557
2021/05/17,914,549
2021/05/18,994,572
2021/05/19,943,567
2021/05/20,930,567
2021/05/21,955,573
2021/05/24,943,568
2021/05/25,952,583
2021/05/26,951,585
2021/05/27,935,582
2021/05/28,961,590
2021/05/31,995,597
2021/06/01,977,598
2021/06/02,959,595
2021/06/03,981,596
2021/06/04,977,595
2021/06/07,973,592
2021/06/08,966,589
2021/06/09,967,586
2021/06/10,998,599
2021/06/11,980,602
2021/06/15,989,609
2021/06/16,985,605
2021/06/17,978,606
2021/06/18,965,603
2021/06/21,918,583
2021/06/22,903,578
2021/06/23,941,595
2021/06/24,929,590
2021/06/25,927,591
2021/06/28,935,590
2021/06/29,935,595
2021/06/30,962,595
2021/07/01,955,593
2021/07/02,957,588
2021/07/05,957,591
2021/07/06,922,592
2021/07/07,917,594
2021/07/08,920,588
2021/07/09,919,584
2021/07/12,935,593
2021/07/13,926,607
2021/07/14,930,613
2021/07/15,951,614
2021/07/16,957,589
2021/07/19,919,582
2021/07/20,920,581
2021/07/21,912,585
2021/07/22,919,591
2021/07/23,933,585
2021/07/26,923,580
2021/07/27,938,580
2021/07/28,890,579
2021/07/29,933,583
2021/07/30,910,580
2021/08/02,934,590
2021/08/03,938,594
2021/08/04,950,596
2021/08/05,961,596
2021/08/06,936,591
2021/08/09,921,595
2021/08/10,922,591
2021/08/11,910,590
2021/08/12,904,586
2021/08/13,910,581
2021/08/16,901,584
2021/08/17,880,580
2021/08/18,912,574
2021/08/19,888,559
2021/08/20,873,552
2021/08/23,911,566
2021/08/24,909,572
2021/08/25,911,585
2021/08/26,888,594
2021/08/27,896,599
2021/08/30,912,605
2021/08/31,901,614
2021/09/01,927,613
2021/09/02,933,607
2021/09/03,919,620
2021/09/06,896,631
2021/09/07,903,623
2021/09/08,912,619
2021/09/09,901,619
2021/09/10,925,622
2021/09/13,927,615
2021/09/14,947,613
2021/09/15,935,607
2021/09/16,936,600
2021/09/17,940,600
2021/09/22,911,586
2021/09/23,915,588
2021/09/24,920,598
2021/09/27,959,602
2021/09/28,957,594
2021/09/29,913,580
2021/09/30,905,580
2021/10/01,885,574
2021/10/04,892,572
2021/10/05,867,572
2021/10/06,871,571
2021/10/07,911,580
2021/10/08,910,575
2021/10/12,887,575
2021/10/13,862,571
2021/10/14,840,573
2021/10/15,871,0
2021/10/18,883,0
2021/10/19,900,0
2021/10/20,887,0
2021/10/21,898,0
2021/10/22,908,0
2021/10/25,901,0
2021/10/26,890,0
2021/10/27,872,0
2021/10/28,861,0
2021/10/29,882,0
2021/11/1,887,0
2021/11/2,880,0
2021/11/3,891,0
2021/11/4,901,0
2021/11/5,894,0
2021/11/8,888,0
2021/11/9,896,0
2021/11/10,901,0
2021/11/11,905,0
